"","number","area","year","species","type","InpN","lenbin","obs_value","label","pred_value","nll","pearson"
"58",1,1,26,"Blue_whiting",0,823,3,0.526123936816525,"catch",0.200689,-417.316,0.726444416298266
"59",1,1,26,"Blue_whiting",0,823,4,0.436208991494532,"catch",0.0749211,-632.445,1.31993131940033
"60",1,1,26,"Blue_whiting",0,823,5,1e-05,"catch",2.29221e-07,-0.0310736,0.020408072521321
"61",1,1,27,"Blue_whiting",0,831,1,1e-05,"catch",0.355056,0.0870676,-0.595848974390026
"62",1,1,27,"Blue_whiting",0,831,2,0.0409145607701564,"catch",0.312711,69.149,-0.486040191848056
"63",1,1,27,"Blue_whiting",0,831,3,0.555956678700361,"catch",0.243187,-382.009,0.634241223642336
"64",1,1,27,"Blue_whiting",0,831,4,0.401925391095066,"catch",0.0890456,-503.377,1.04850687071359
"65",1,1,27,"Blue_whiting",0,831,5,0.00120336943441637,"catch",2.27866e-07,-8.57187,2.52044350629791
"66",1,1,28,"Blue_whiting",0,818,1,1e-05,"catch",0.303678,0.0844269,-0.551051722009192
"67",1,1,28,"Blue_whiting",0,818,2,0.0415647921760391,"catch",0.327839,70.2192,-0.499979172468878
"68",1,1,28,"Blue_whiting",0,818,3,0.526894865525672,"catch",0.272116,-284.794,0.488412038807869
"69",1,1,28,"Blue_whiting",0,818,4,0.430317848410758,"catch",0.0963667,-526.72,1.07577004644471
"70",1,1,28,"Blue_whiting",0,818,5,0.00122249388753056,"catch",2.04965e-07,-8.69356,2.69981510224758
"71",1,1,29,"Blue_whiting",0,838,1,1e-05,"catch",0.212826,0.0835121,-0.461309007575039
"72",1,1,29,"Blue_whiting",0,838,2,0.0405727923627685,"catch",0.344736,72.7492,-0.518040078406446
"73",1,1,29,"Blue_whiting",0,838,3,0.536992840095465,"catch",0.32718,-222.964,0.366807906721178
"74",1,1,29,"Blue_whiting",0,838,4,0.422434367541766,"catch",0.115258,-459.798,0.904799310123144
"75",1,1,29,"Blue_whiting",0,838,5,1e-05,"catch",2.02824e-07,-0.0326652,0.021754105893258
"76",1,1,30,"Blue_whiting",0,835,1,1e-05,"catch",0.15898,0.0807775,-0.398697881395186
"77",1,1,30,"Blue_whiting",0,835,2,0.0383233532934132,"catch",0.329379,68.8368,-0.507140244879913
"78",1,1,30,"Blue_whiting",0,835,3,0.519760479041916,"catch",0.375284,-141.347,0.235839814549911
"79",1,1,30,"Blue_whiting",0,835,4,0.439520958083832,"catch",0.136357,-429.54,0.820991857169756
"80",1,1,30,"Blue_whiting",0,835,5,0.00239520958083832,"catch",1.98814e-07,-18.7932,5.37135663458368
"81",1,1,31,"Blue_whiting",0,810,1,1e-05,"catch",0.55631,0.0885046,-0.745848510208176
"82",1,1,31,"Blue_whiting",0,810,2,0.0382716049382716,"catch",0.201039,51.4226,-0.363017244056248
"83",1,1,31,"Blue_whiting",0,810,3,0.537037037037037,"catch",0.176055,-485.143,0.860322754331186
"84",1,1,31,"Blue_whiting",0,810,4,0.423456790123457,"catch",0.0665954,-634.487,1.38285755585629
"85",1,1,31,"Blue_whiting",0,810,5,0.00123456790123457,"catch",8.10462e-08,-9.63121,4.33630819592814
"86",1,1,32,"Blue_whiting",0,838,1,1e-05,"catch",0.669451,0.0931154,-0.818187631383765
"87",1,1,32,"Blue_whiting",0,838,2,0.0369928400954654,"catch",0.206592,53.3206,-0.373135823921083
"88",1,1,32,"Blue_whiting",0,838,3,0.535799522673031,"catch",0.0923171,-789.58,1.45960497402272
"89",1,1,32,"Blue_whiting",0,838,4,0.426014319809069,"catch",0.0316406,-928.211,2.21710168284282
"90",1,1,32,"Blue_whiting",0,838,5,0.00119331742243437,"catch",3.2125e-08,-10.5226,6.65767700241016
"91",1,1,33,"Blue_whiting",0,818,1,1e-05,"catch",0.857688,0.09292,-0.926103665966501
"92",1,1,33,"Blue_whiting",0,818,2,0.039119804400978,"catch",0.133037,39.168,-0.257489126788751
"93",1,1,33,"Blue_whiting",0,818,3,0.539119804400978,"catch",0.00858485,-1825.71,5.72595126236082
"94",1,1,33,"Blue_whiting",0,818,4,0.420537897310513,"catch",0.000689496,-2206.19,15.9891960759076
"95",1,1,33,"Blue_whiting",0,818,5,0.00122249388753056,"catch",5.28085e-10,-14.6549,53.197912751782
"96",1,1,34,"Blue_whiting",0,831,1,1e-05,"catch",0.57275,0.0910412,-0.756789270652403
"97",1,1,34,"Blue_whiting",0,831,2,0.0421179302045728,"catch",0.361907,75.282,-0.531575705290015
"98",1,1,34,"Blue_whiting",0,831,3,0.548736462093863,"catch",0.0628759,-987.903,1.93762415996514
"99",1,1,34,"Blue_whiting",0,831,4,0.407942238267148,"catch",0.00246744,-1731.59,8.16282650487712
"100",1,1,34,"Blue_whiting",0,831,5,0.00120336943441637,"catch",5.27964e-10,-14.6394,52.3716950504287
"101",1,1,35,"Blue_whiting",0,825,1,1e-05,"catch",0.529321,0.0897333,-0.727530755493485
"102",1,1,35,"Blue_whiting",0,825,2,0.0375757575757576,"catch",0.356623,69.7599,-0.534257122557539
"103",1,1,35,"Blue_whiting",0,825,3,0.52,"catch",0.1077,-675.452,1.25633507024517
"104",1,1,35,"Blue_whiting",0,825,4,0.44,"catch",0.00635625,-1538.15,5.43916966758826
