"","survey","year","species","sizebin","inpN","prey","value","obs"
"89",1,2,"Blue_whiting",5,100,"Long_rough_dab",1e-06,0
"90",1,2,"Blue_whiting",5,100,"Mackerel",1e-06,0
"91",1,2,"Blue_whiting",5,100,"North_atl_cod",1e-06,0
"92",1,2,"Blue_whiting",5,100,"Norwegian_ssh",0.000344112381076224,0
"93",1,2,"Blue_whiting",5,100,"Polar_cod",1e-06,0
"94",1,2,"Blue_whiting",5,100,"Redfish",0.0675804264810413,0
"95",1,2,"Blue_whiting",5,100,"Saithe",1e-06,0
"96",1,2,"Blue_whiting",5,100,"allotherprey",0.923658781860179,100
"97",1,3,"Blue_whiting",3,100,"Blue_whiting",1e-06,0
"98",1,3,"Blue_whiting",3,100,"Capelin",0.00694173313587191,2
"99",1,3,"Blue_whiting",3,100,"Green_halibut",1e-06,0
"100",1,3,"Blue_whiting",3,100,"Haddock",1e-06,0
"101",1,3,"Blue_whiting",3,100,"Long_rough_dab",1e-06,0
"102",1,3,"Blue_whiting",3,100,"Mackerel",1e-06,0
"103",1,3,"Blue_whiting",3,100,"North_atl_cod",1e-06,0
"104",1,3,"Blue_whiting",3,100,"Norwegian_ssh",7.83147641271293e-05,0
"105",1,3,"Blue_whiting",3,100,"Polar_cod",1e-06,0
"106",1,3,"Blue_whiting",3,100,"Redfish",0.0533470663871557,0
"107",1,3,"Blue_whiting",3,100,"Saithe",1e-06,0
"108",1,3,"Blue_whiting",3,100,"allotherprey",0.939632885712845,98
"109",1,3,"Blue_whiting",4,100,"Blue_whiting",1e-06,0
"110",1,3,"Blue_whiting",4,100,"Capelin",0.00902591429511353,0
"111",1,3,"Blue_whiting",4,100,"Green_halibut",1e-06,0
"112",1,3,"Blue_whiting",4,100,"Haddock",1e-06,0
"113",1,3,"Blue_whiting",4,100,"Long_rough_dab",1e-06,0
"114",1,3,"Blue_whiting",4,100,"Mackerel",1e-06,0
"115",1,3,"Blue_whiting",4,100,"North_atl_cod",1e-06,0
"116",1,3,"Blue_whiting",4,100,"Norwegian_ssh",0.000116426677075415,0
"117",1,3,"Blue_whiting",4,100,"Polar_cod",1e-06,0
"118",1,3,"Blue_whiting",4,100,"Redfish",0.0699304633681301,0
"119",1,3,"Blue_whiting",4,100,"Saithe",1e-06,0
"120",1,3,"Blue_whiting",4,100,"allotherprey",0.920927195659681,100
"121",1,3,"Blue_whiting",5,100,"Blue_whiting",1e-06,0
"122",1,3,"Blue_whiting",5,100,"Capelin",0.009101627080958,0
"123",1,3,"Blue_whiting",5,100,"Green_halibut",1e-06,0
"124",1,3,"Blue_whiting",5,100,"Haddock",1e-06,0
"125",1,3,"Blue_whiting",5,100,"Long_rough_dab",1e-06,0
"126",1,3,"Blue_whiting",5,100,"Mackerel",1e-06,0
"127",1,3,"Blue_whiting",5,100,"North_atl_cod",1e-06,0
"128",1,3,"Blue_whiting",5,100,"Norwegian_ssh",0.000132780806539597,0
"129",1,3,"Blue_whiting",5,100,"Polar_cod",1e-06,0
"130",1,3,"Blue_whiting",5,100,"Redfish",0.0711204195373653,1
"131",1,3,"Blue_whiting",5,100,"Saithe",1e-06,0
"132",1,3,"Blue_whiting",5,100,"allotherprey",0.919645172575137,99
"133",1,4,"Blue_whiting",2,100,"Blue_whiting",1e-06,0
"134",1,4,"Blue_whiting",2,100,"Capelin",1e-06,0
"135",1,4,"Blue_whiting",2,100,"Green_halibut",1e-06,0
"136",1,4,"Blue_whiting",2,100,"Haddock",1e-06,0
"137",1,4,"Blue_whiting",2,100,"Long_rough_dab",1e-06,0
"138",1,4,"Blue_whiting",2,100,"Mackerel",1e-06,0
"139",1,4,"Blue_whiting",2,100,"North_atl_cod",1e-06,0
"140",1,4,"Blue_whiting",2,100,"Norwegian_ssh",3.31304094825925e-07,0
"141",1,4,"Blue_whiting",2,100,"Polar_cod",1e-06,0
"142",1,4,"Blue_whiting",2,100,"Redfish",1e-06,0
"143",1,4,"Blue_whiting",2,100,"Saithe",1e-06,0
"144",1,4,"Blue_whiting",2,100,"allotherprey",0.999999668695905,100
"145",1,4,"Blue_whiting",3,100,"Blue_whiting",1e-06,0
"146",1,4,"Blue_whiting",3,100,"Capelin",0.00747917914877852,0
"147",1,4,"Blue_whiting",3,100,"Green_halibut",1e-06,0
"148",1,4,"Blue_whiting",3,100,"Haddock",1e-06,0
"149",1,4,"Blue_whiting",3,100,"Long_rough_dab",1e-06,0
"150",1,4,"Blue_whiting",3,100,"Mackerel",1e-06,0
"151",1,4,"Blue_whiting",3,100,"North_atl_cod",1e-06,0
"152",1,4,"Blue_whiting",3,100,"Norwegian_ssh",0.000111847910640893,0
"153",1,4,"Blue_whiting",3,100,"Polar_cod",1e-06,0
"154",1,4,"Blue_whiting",3,100,"Redfish",0.0492658734448803,1
"155",1,4,"Blue_whiting",3,100,"Saithe",1e-06,0
"156",1,4,"Blue_whiting",3,100,"allotherprey",0.9431430994957,99
"157",1,4,"Blue_whiting",4,100,"Blue_whiting",1e-06,0
"158",1,4,"Blue_whiting",4,100,"Capelin",0.00972168277450247,0
"159",1,4,"Blue_whiting",4,100,"Green_halibut",1e-06,0
"160",1,4,"Blue_whiting",4,100,"Haddock",1e-06,0
"161",1,4,"Blue_whiting",4,100,"Long_rough_dab",1e-06,0
"162",1,4,"Blue_whiting",4,100,"Mackerel",1e-06,0
"163",1,4,"Blue_whiting",4,100,"North_atl_cod",1e-06,0
"164",1,4,"Blue_whiting",4,100,"Norwegian_ssh",0.000144966191797519,0
"165",1,4,"Blue_whiting",4,100,"Polar_cod",1e-06,0
"166",1,4,"Blue_whiting",4,100,"Redfish",0.0646748750161144,1
"167",1,4,"Blue_whiting",4,100,"Saithe",1e-06,0
"168",1,4,"Blue_whiting",4,100,"allotherprey",0.925458476017586,99
"169",1,4,"Blue_whiting",5,100,"Blue_whiting",1e-06,0
"170",1,4,"Blue_whiting",5,100,"Capelin",0.0097777110934018,0
"171",1,4,"Blue_whiting",5,100,"Green_halibut",1e-06,0
"172",1,4,"Blue_whiting",5,100,"Haddock",1e-06,0
"173",1,4,"Blue_whiting",5,100,"Long_rough_dab",1e-06,0
"174",1,4,"Blue_whiting",5,100,"Mackerel",1e-06,0
"175",1,4,"Blue_whiting",5,100,"North_atl_cod",1e-06,0
"176",1,4,"Blue_whiting",5,100,"Norwegian_ssh",0.000145741038911472,0
"177",1,4,"Blue_whiting",5,100,"Polar_cod",1e-06,0
"178",1,4,"Blue_whiting",5,100,"Redfish",0.0657507733840497,1
"179",1,4,"Blue_whiting",5,100,"Saithe",1e-06,0
"180",1,4,"Blue_whiting",5,100,"allotherprey",0.924325774483637,99
"181",1,5,"Blue_whiting",2,100,"Blue_whiting",1e-06,0
"182",1,5,"Blue_whiting",2,100,"Capelin",1e-06,0
"183",1,5,"Blue_whiting",2,100,"Green_halibut",1e-06,0
"184",1,5,"Blue_whiting",2,100,"Haddock",1e-06,0
"185",1,5,"Blue_whiting",2,100,"Long_rough_dab",1e-06,0
"186",1,5,"Blue_whiting",2,100,"Mackerel",1e-06,0
"187",1,5,"Blue_whiting",2,100,"North_atl_cod",1e-06,0
"188",1,5,"Blue_whiting",2,100,"Norwegian_ssh",9.4307783904973e-07,0
"189",1,5,"Blue_whiting",2,100,"Polar_cod",1e-06,0
"190",1,5,"Blue_whiting",2,100,"Redfish",1e-06,0
"191",1,5,"Blue_whiting",2,100,"Saithe",1e-06,0
"192",1,5,"Blue_whiting",2,100,"allotherprey",0.999999056922161,100
"193",1,5,"Blue_whiting",3,100,"Blue_whiting",1e-06,0
"194",1,5,"Blue_whiting",3,100,"Capelin",0.00601104198891307,0
"195",1,5,"Blue_whiting",3,100,"Green_halibut",1e-06,0
"196",1,5,"Blue_whiting",3,100,"Haddock",1e-06,0
"197",1,5,"Blue_whiting",3,100,"Long_rough_dab",1e-06,0
"198",1,5,"Blue_whiting",3,100,"Mackerel",1e-06,0
"199",1,5,"Blue_whiting",3,100,"North_atl_cod",1e-06,0
"200",1,5,"Blue_whiting",3,100,"Norwegian_ssh",0.000267954195100702,0
"201",1,5,"Blue_whiting",3,100,"Polar_cod",1e-06,0
"202",1,5,"Blue_whiting",3,100,"Redfish",0.0492025042793249,0
"203",1,5,"Blue_whiting",3,100,"Saithe",1e-06,0
"204",1,5,"Blue_whiting",3,100,"allotherprey",0.944518499536661,100
"205",1,5,"Blue_whiting",4,100,"Blue_whiting",1e-06,0
"206",1,5,"Blue_whiting",4,100,"Capelin",0.0078407065772724,0
"207",1,5,"Blue_whiting",4,100,"Green_halibut",1e-06,0
"208",1,5,"Blue_whiting",4,100,"Haddock",1e-06,0
"209",1,5,"Blue_whiting",4,100,"Long_rough_dab",1e-06,0
"210",1,5,"Blue_whiting",4,100,"Mackerel",1e-06,0
"211",1,5,"Blue_whiting",4,100,"North_atl_cod",1e-06,0
"212",1,5,"Blue_whiting",4,100,"Norwegian_ssh",0.000349192581455183,0
"213",1,5,"Blue_whiting",4,100,"Polar_cod",1e-06,0
"214",1,5,"Blue_whiting",4,100,"Redfish",0.0647392041248512,1
"215",1,5,"Blue_whiting",4,100,"Saithe",1e-06,0
"216",1,5,"Blue_whiting",4,100,"allotherprey",0.927070896716421,99
"217",1,5,"Blue_whiting",5,100,"Blue_whiting",1e-06,0
"218",1,5,"Blue_whiting",5,100,"Capelin",0.00789835914658202,0
"219",1,5,"Blue_whiting",5,100,"Green_halibut",1e-06,0
"220",1,5,"Blue_whiting",5,100,"Haddock",1e-06,0
"221",1,5,"Blue_whiting",5,100,"Long_rough_dab",1e-06,0
"222",1,5,"Blue_whiting",5,100,"Mackerel",1e-06,0
"223",1,5,"Blue_whiting",5,100,"North_atl_cod",1e-06,0
"224",1,5,"Blue_whiting",5,100,"Norwegian_ssh",0.000352083440379417,0
"225",1,5,"Blue_whiting",5,100,"Polar_cod",1e-06,0
"226",1,5,"Blue_whiting",5,100,"Redfish",0.0658634819631822,3
"227",1,5,"Blue_whiting",5,100,"Saithe",1e-06,0
"228",1,5,"Blue_whiting",5,100,"allotherprey",0.925886075449856,97
"229",1,6,"Blue_whiting",3,100,"Blue_whiting",1e-06,0
"230",1,6,"Blue_whiting",3,100,"Capelin",0.00870970341432702,0
"231",1,6,"Blue_whiting",3,100,"Green_halibut",1e-06,0
"232",1,6,"Blue_whiting",3,100,"Haddock",1e-06,0
"233",1,6,"Blue_whiting",3,100,"Long_rough_dab",1e-06,0
"234",1,6,"Blue_whiting",3,100,"Mackerel",1e-06,0
"235",1,6,"Blue_whiting",3,100,"North_atl_cod",1e-06,0
"236",1,6,"Blue_whiting",3,100,"Norwegian_ssh",0.000768318877540352,0
"237",1,6,"Blue_whiting",3,100,"Polar_cod",1e-06,0
"238",1,6,"Blue_whiting",3,100,"Redfish",0.0448404729602287,2
"239",1,6,"Blue_whiting",3,100,"Saithe",1e-06,0
"240",1,6,"Blue_whiting",3,100,"allotherprey",0.945681504747904,98
"241",1,6,"Blue_whiting",4,100,"Blue_whiting",1e-06,0
"242",1,6,"Blue_whiting",4,100,"Capelin",0.0113487083054924,0
"243",1,6,"Blue_whiting",4,100,"Green_halibut",1e-06,0
"244",1,6,"Blue_whiting",4,100,"Haddock",1e-06,0
"245",1,6,"Blue_whiting",4,100,"Long_rough_dab",1e-06,0
"246",1,6,"Blue_whiting",4,100,"Mackerel",1e-06,0
"247",1,6,"Blue_whiting",4,100,"North_atl_cod",1e-06,0
"248",1,6,"Blue_whiting",4,100,"Norwegian_ssh",0.00103624655647735,0
"249",1,6,"Blue_whiting",4,100,"Polar_cod",1e-06,0
"250",1,6,"Blue_whiting",4,100,"Redfish",0.0589526676222973,1
"251",1,6,"Blue_whiting",4,100,"Saithe",1e-06,0
"252",1,6,"Blue_whiting",4,100,"allotherprey",0.928662377515733,99
"253",1,6,"Blue_whiting",5,100,"Blue_whiting",1e-06,0
"254",1,6,"Blue_whiting",5,100,"Capelin",0.0114310559909262,0
"255",1,6,"Blue_whiting",5,100,"Green_halibut",1e-06,0
"256",1,6,"Blue_whiting",5,100,"Haddock",1e-06,0
"257",1,6,"Blue_whiting",5,100,"Long_rough_dab",1e-06,0
"258",1,6,"Blue_whiting",5,100,"Mackerel",1e-06,0
"259",1,6,"Blue_whiting",5,100,"North_atl_cod",1e-06,0
"260",1,6,"Blue_whiting",5,100,"Norwegian_ssh",0.00108660269781754,0
"261",1,6,"Blue_whiting",5,100,"Polar_cod",1e-06,0
"262",1,6,"Blue_whiting",5,100,"Redfish",0.0599793201730763,4
"263",1,6,"Blue_whiting",5,100,"Saithe",1e-06,0
"264",1,6,"Blue_whiting",5,100,"allotherprey",0.92750302113818,96
"265",1,7,"Blue_whiting",3,100,"Blue_whiting",1e-06,0
"266",1,7,"Blue_whiting",3,100,"Capelin",0.0148294440789085,0
"267",1,7,"Blue_whiting",3,100,"Green_halibut",1e-06,0
"268",1,7,"Blue_whiting",3,100,"Haddock",1e-06,0
"269",1,7,"Blue_whiting",3,100,"Long_rough_dab",1e-06,0
"270",1,7,"Blue_whiting",3,100,"Mackerel",1e-06,0
"271",1,7,"Blue_whiting",3,100,"North_atl_cod",1e-06,0
