"","number","year","species","data","cv","predicted","residual","nll","numero"
"88",1,8,2,900170,0.1,23068300,-3.24363,538.383,1000
"89",1,9,2,1916240,0.1,15603600,-2.09714,232.981,1000
"90",1,10,2,2130360,0.1,17398000,-2.10007,233.703,1000
"91",1,11,2,2168880,0.1,19075200,-2.17418,249.558,1000
"92",1,12,2,1230880,0.1,15353800,-2.52363,331.075,1000
"93",1,13,2,1196980,0.1,6771780,-1.73296,162.769,1000
"94",1,14,2,1233600,0.1,8643400,-1.94686,202.155,1000
"95",1,15,2,1848300,0.1,11005600,-1.78414,172.204,1000
"96",1,16,2,1095810,0.1,7558320,-1.93115,198.991,1000
"97",1,17,2,1931610,0.1,5347260,-1.01823,64.9297,1000
"98",1,18,2,1594320,0.1,4256700,-0.982049,61.1193,1000
"99",1,19,2,1543790,0.1,2465810,-0.468278,23.8303,1000
"100",1,20,2,1545510,0.1,5725260,-1.30953,98.611,1000
"101",1,21,2,1983190,0.1,8192730,-1.41854,113.729,1000
"102",1,22,2,2004580,0.1,4356470,-0.776227,43.2537,1000
"103",1,23,2,3394980,0.1,439174000,-4.8626,1195.9,1000
"104",1,24,2,1946390,0.1,357193000,-5.2123,1371.5,1000
"105",1,25,2,1932390,0.1,149456000,-4.34825,958.453,1000
"106",1,26,2,1874090,0.1,60049900,-3.46705,614.082,1000
"107",1,27,2,2168350,0.1,284124000,-4.87544,1201.7,1000
"108",1,28,2,1393230,0.1,318627000,-5.4324,1488.31,1000
"109",1,29,2,2418050,0.1,181891000,-4.32044,946.627,1000
"110",1,30,2,2180870,0.1,87138600,-3.68778,693.196,1000
"111",1,31,2,1891550,0.1,41046200,-3.0773,486.558,1000
"112",1,32,2,1784820,0.1,3961520000,-7.70507,2981.42,1000
"113",1,33,2,2273660,0.1,6300040000,-7.92692,3155.06,1000
"114",1,34,2,2278940,0.1,3873850000,-7.43829,2779.67,1000
"115",1,35,2,1817180,0.1,1708480000,-6.84608,2356.47,1000
"116",1,36,2,2046430,0.1,522319000,-5.54218,1548.94,1000
"117",1,37,2,1700480,0.1,92331400,-3.99447,810.753,1000
"118",1,38,2,2376410,0.1,13364400,-1.727,162.424,1000
"119",1,39,2,1898410,0.1,4606600,-0.886473,52.3646,1000
"120",1,40,2,2716740,0.1,8319900,-1.11922,76.0636,1000
"121",1,41,2,2631980,0.1,9003230,-1.22985,89.0257,1000
"122",1,42,2,2262510,0.1,4129500,-0.601681,31.3493,1000
"123",1,43,2,2051720,0.1,2983270,-0.374343,20.1572,1000
"124",1,44,2,1799790,0.1,3471530,-0.656928,34.5973,1000
"125",1,45,2,1944410,0.1,2835140,-0.377134,20.2083,1000
"126",1,46,2,1530630,0.1,1668810,-0.0864309,13.2311,1000
"127",1,47,2,1722760,0.1,887880,0.66285,34.9443,1000
"128",1,48,2,2276620,0.1,547967,1.42423,114.676,1000
"129",1,49,2,1978090,0.1,256076,2.04441,222.095,1000
"130",1,50,2,1924260,0.1,174878,2.3982,300.656,1000
"131",1,51,2,1527210,0.1,200215,2.0318,219.267,1000
"132",1,52,2,2287090,0.1,1204830,0.640942,33.7995,1000
"133",1,53,2,2318260,0.1,1817590,0.243303,16.2325,1000
"134",1,54,2,1979080,0.1,1078350,0.607197,31.5489,1000
