number,area,year,species,type,InpN,lenbin,obs_value,label,pred_value,nll,pearson,resid,res_abs,prey
1,1,33,1,0,818,4,0.420537897,catch,0.000689496,-2206.19,15.98919608,1,15.98919608,-99
1,1,33,1,0,818,5,0.001222494,catch,5.28E-10,-14.6549,53.19791275,1,53.19791275,-99
1,1,34,1,0,831,2,0.04211793,catch,0.361907,75.282,-0.531575705,0,0.531575705,-99
1,1,34,1,0,831,3,0.548736462,catch,0.0628759,-987.903,1.93762416,1,1.93762416,-99
1,1,34,1,0,831,4,0.407942238,catch,0.00246744,-1731.59,8.162826505,1,8.162826505,-99
1,1,34,1,0,831,5,0.001203369,catch,5.28E-10,-14.6394,52.37169505,1,52.37169505,-99
1,1,35,1,0,825,2,0.037575758,catch,0.356623,69.7599,-0.534257123,0,0.534257123,-99
1,1,35,1,0,825,3,0.52,catch,0.1077,-675.452,1.25633507,1,1.25633507,-99
1,1,35,1,0,825,4,0.44,catch,0.00635625,-1538.15,5.439169668,1,5.439169668,-99
1,1,35,1,0,825,5,0.002424242,catch,3.67E-10,-31.4051,126.4906496,1,126.4906496,-99
1,1,36,1,0,804,2,0.038557214,catch,0.436393,75.2184,-0.602233567,0,0.602233567,-99
1,1,36,1,0,804,3,0.531094527,catch,0.189885,-439.178,0.783025345,1,0.783025345,-99
1,1,36,1,0,804,4,0.429104478,catch,0.0158059,-1138.95,3.287413208,1,3.287413208,-99
1,1,36,1,0,804,5,0.001243781,catch,3.64E-10,-15.0437,65.17454786,1,65.17454786,-99
1,1,37,1,0,822,2,0.03892944,catch,0.449079,78.2543,-0.612041507,0,0.612041507,-99
1,1,37,1,0,822,3,0.53406326,catch,0.278325,-286.107,0.484751987,1,0.484751987,-99
1,1,37,1,0,822,4,0.425790754,catch,0.0311571,-915.217,2.235710698,1,2.235710698,-99
1,1,37,1,0,822,5,0.001216545,catch,3.63E-10,-15.0252,63.86373524,1,63.86373524,-99
1,1,38,1,0,846,2,0.040189125,catch,0.425309,80.2135,-0.590532284,0,0.590532284,-99
1,1,38,1,0,846,3,0.546099291,catch,0.360861,-191.41,0.308361955,1,0.308361955,-99
1,1,38,1,0,846,4,0.411347518,catch,0.0525463,-716.095,1.565246848,1,1.565246848,-99
1,1,38,1,0,846,5,0.002364066,catch,3.63E-10,-31.3789,124.094097,1,124.094097,-99
1,1,39,1,0,829,2,0.038600724,catch,0.380865,73.2536,-0.554595115,0,0.554595115,-99
1,1,39,1,0,829,3,0.546441496,catch,0.42756,-111.135,0.181809146,1,0.181809146,-99
1,1,39,1,0,829,4,0.412545235,catch,0.0787254,-566.482,1.189747225,1,1.189747225,-99
1,1,39,1,0,829,5,0.002412545,catch,3.61E-10,-31.4327,127.0561413,1,127.0561413,-99
1,1,40,1,0,824,2,0.037621359,catch,0.323114,66.6635,-0.502246628,0,0.502246628,-99
1,1,40,1,0,824,3,0.512135922,catch,0.458548,-46.6417,0.079136077,1,0.079136077,-99
1,1,40,1,0,824,4,0.447815534,catch,0.104218,-537.962,1.064335801,1,1.064335801,-99
1,1,40,1,0,824,5,0.002427184,catch,3.43E-10,-31.5451,131.0726302,1,131.0726302,-99
1,1,41,1,0,850,2,0.038823529,catch,0.286754,65.9868,-0.462993786,0,0.462993786,-99
1,1,41,1,0,850,3,0.518823529,catch,0.494517,-21.1599,0.034564664,1,0.034564664,-99
1,1,41,1,0,850,4,0.442352941,catch,0.135604,-444.572,0.833003492,1,0.833003492,-99
1,1,42,1,0,816,2,0.034313725,catch,0.242009,54.696,-0.422192833,0,0.422192833,-99
1,1,42,1,0,816,3,0.479166667,catch,0.488478,7.525,-0.013322612,0,0.013322612,-99
1,1,42,1,0,816,4,0.484068627,catch,0.158707,-440.491,0.816710785,1,0.816710785,-99
